name,classification,thc_percent,cbd_percent,cbg_percent,average_rating,rating_count,effects,medical,flavors,terpenes,lineage,awards,grow_info_yield,grow_info_height,grow_info_difficulty,grow_info_flowering_time_weeks,description,url
LA Pop Rocks,Hybrid,18,,,4.4,61,"Relaxed;Tingly;Creative","Anxiety;Pain;Stress","Apple;Mint;Apricot","Caryophyllene;Terpinolene;Humulene","TKBx2;Z Animal",,medium,medium,moderate,,"LA Pop Rocks, also known as ""LA Pop Rockz"" and ""LA Pop Rockz #4,"" is a potent indica-dominant hybrid marijuana strain made by crossing TKBx2 with Z Animal. This strain produces uplifting effects that feel motivating and productive. In large doses, LA Pop Rocks may make you feel tingly throughout your body before eventually lulling you into a relaxed and easygoing state. This strain pairs well with daytime activities and is a great choice as a wake and bake strain. LA Pop Rocks is extremely potent and may overwhelm novice cannabis consumers. Medical marijuana patients choose this strain to relieve symptoms associated with chronic headaches, anxiety, and depression. This strain was originally bred by Seed Junky.",https://www.leafly.com/strains/la-pop-rockz-4
LA Wedding Pop,Sativa,21,,,4.4,56,"Talkative;Focused;Relaxed","Anxiety;Depression;Stress","Pepper;Vanilla;Flowery","Caryophyllene;Myrcene;Limonene","Wedding Cake;Triangle Kush",,medium,medium,easy,,"LA Wedding Pop is a sativa weed strain made from a genetic cross between Wedding Cake and Triangle Kush. LA Wedding Pop is 21% THC, making this strain an ideal choice for beginners cannabis consumers. Leafly customers tell us LA Wedding Pop effects include feeling talkative, focused, and uplifted. Medical marijuana patients often choose LA Wedding Pop when dealing with symptoms associated with anxiety, depression, and stress. Bred by Seed Junky Genetics, LA Wedding Pop features flavors like pepper, vanilla and sage. The dominant terpene of this strain is caryophyllene.",https://www.leafly.com/strains/la-wedding-pop
LA Woman,Hybrid,22,,,4.3,116,"Relaxed;Euphoric;Tingly","Stress;Anxiety;Pain","Pine;Earthy;Pungent","Myrcene;Terpinolene;Caryophyllene","LA Confidential;Martian Mean Green",,medium,medium,moderate,,"LA Woman is a match of two multi-award winning strains by DNA Genetics, Martian Mean Green and LA Confidential. This strain's taste is sweet and robust with the flavor lasting well after the exhale. It's hard to go wrong with LA Woman's incredible smell and potency. This strain has frosty buds and is definitely a crowd-pleaser.",https://www.leafly.com/strains/la-woman
Lamb Bread,Sativa,,,,,0,,,,,Unknown,,,,,,,https://www.leafly.com/strains/lamb-bread
Lamb's Bread,Sativa,18,1,,4.4,900,"Energetic;Focused;Uplifted","Stress;Anxiety;Depression","Pungent;Cheesy;Sweet;Spicy;Herbal","Myrcene;Caryophyllene;Limonene",Jamaican,,medium,tall,moderate,9,"Lamb’s Bread, also known as “Lamb’s Breath,” is a sativa marijuana strain of unknown genetic origin, with uniquely-shaped, light green buds that resemble balls of sheep’s wool. The effects of Lamb’s Bread are believed to be energetic and uplifting. Reviewers on Leafly say Lamb’s Bread makes them feel energetic and creative. Lamb’s Bread has 18% THC and 1% CBD. The dominant terpene is caryophyllene, which contributes to the pungent cheesy aroma and sweet, yet spicy flavor the strain is known for. Lamb’s Bread is a popular weed strain for medical marijuana patients looking to relieve symptoms associated with chronic stress and depression. The original breeder of Lamb’s Bread is unknown, but the plant has origins in Jamaica, and it is believed to have been one of Bob Marley’s favorite strains.",https://www.leafly.com/strains/lamb-s-bread
Lambo OG,Hybrid,14,,,4.5,22,"Euphoric;Sleepy;Hungry","Pain;Insomnia;Nausea","Vanilla;Earthy;Pine","Myrcene;Caryophyllene;Ocimene","Jamaican Haze;Jamaican Purple;Super Afghan",,medium,medium,moderate,8,"Created by T.H. Seeds, Lambo is notable for being bred specifically to grow well outside. A cross of Jamaican Haze, Jamaican Purple and Super Afghan, this “guerilla grower” has a strong natural resistance to molds and pests and an 8 week flowering time, making it ideal for those in warmer climates who want to give outdoor growing a try. Originally named Rambo, this strain has been redubbed thanks to some litigious copyright people, but it’s still the same good stuff.",https://www.leafly.com/strains/lambo-og
Lantz,Hybrid,25,,,4.4,9,"Uplifted;Creative;Euphoric","Stress;Fatigue;Insomnia","Sweet;Pine",,"Green Lantern;Ridgeline Runtz","First place in the Mixed Light category at the 2023 Emerald Cup;Mixed Light Breeder’s Cup at the 2023 Emerald Cup",,,null,,"Lantz, also called Ridgeline Lantz, is a hybrid weed strain bred by Ridgeline Farms from a genetic cross of Green Lantern x Ridgeline Runtz. This strain has heady terps of tangy, sweet candy and forest pine.",https://www.leafly.com/strains/lantz
Larry Bird,Hybrid,17,,,4.7,80,"Uplifted;Relaxed;Happy","Anxiety;Stress;Depression","Sweet;Lemon;Cream;Pine",Caryophyllene,"Sunset Sherbet;Thin Mint Girl Scout Cookies",,medium,medium,moderate,,"Larry Bird is a hybrid weed strain named after the famous Boston Celtics basketball player that is made from a genetic cross between Sunset Sherbet with Thin Mint Girl Scout Cookies. Bred by Zamnesia Seeds, Larry Bird is 17% THC, making this strain an ideal choice for both beginner and experienced cannabis consumers. Leafly customers tell us Larry Bird effects make them feel relaxed, creative, and euphoric. Medical marijuana patients often choose Larry Bird when dealing with symptoms associated with stress, depression, and chronic pain. The dominant terpene of this cannabis strain is caryophyllene. Larry Bird features an aroma of cream and pine as well as a flavor profile that is sweet with a lemon tang.",https://www.leafly.com/strains/larry-bird-kush
Larry Cake,Hybrid,19,,,4.7,20,"Euphoric;Sleepy;Uplifted","Anxiety;Insomnia;Depression","Sweet;Floral;Citrus;Earthy","Terpinolene;Caryophyllene;Humulene","Gelato #33;Wedding Cake",,medium,medium,moderate,,"Pheno-hunted by Freddy’s Fuego in Washington with seeds by Seed Junky Genetics, Larry Cake—also known as Ice Cream Cake—crosses Gelato #33 and Wedding Cake. This strain puts out a pleasant and relaxing full-body high, and it’s noted for a sweet, floral, citrus, and earthy flavor profile.",https://www.leafly.com/strains/larry-cake
Larry OG,Hybrid,20,,,4.2,825,"Relaxed;Happy;Hungry","Stress;Pain;Depression","Pine;Lemon;Citrus","Myrcene;Limonene;Caryophyllene","OG Kush;SFV OG",,medium,medium,moderate,8,"Larry OG, also known as ""Lemon Larry,"" ""Sour Larry,"" and ""Zour Larry"" is yet another member of the famous ocean-grown strain family. Originally created in Orange County, this indica marijuana strain is a cross between OG Kush and SFV OG. Larry OG produces a potent yet easy body buzz that will allow you to relax while getting things done. The effects of Larry OG are happy but not overwhelming. Like other members of the OG family, this strain has a very clean and piney aroma. The nugs tend to be dense and feature distinct burnt orange hairs that are longer than average.",https://www.leafly.com/strains/larry-og
Laughing Buddha,Sativa,22,,,4.5,279,"Giggly;Energetic;Uplifted","Depression;Stress;Anxiety","Earthy;Sweet;Fruity;Spicy/herbal","Myrcene;Caryophyllene;Limonene","Thai;Jamaican",2003 High Times Cannabis Cup,high,tall,moderate,9,"Laughing Buddha is an award-winning sativa (2003 High Times Cannabis Cup) from Barney's Farm that grows fast and tall. An earthy cross between Thai and Jamaican strains with a sweet, fruity smell that is broken up by hints of spice and provides a rich pungent smoke that will leave consumers feeling happy, upbeat, and will leave them giggling even when battling depression.",https://www.leafly.com/strains/laughing-buddha
Laughing Gas,Hybrid,19,,,4.6,48,"Talkative;Giggly;Energetic","Stress;Anxiety;Depression","Ammonia;Diesel;Pine","Myrcene;Caryophyllene;Pinene","Sour Diesel;Cherry Pie",,medium,medium,moderate,,"Laughing Gas by TKO Reserve is a fuel-forward cross of Sour Diesel and Cherry Pie. This pungent pair creates a strain that emits a powerful fuel aroma intermixed with notes of grass, pine, and a distant sweetness. The dense, knobby buds offer consumers stimulating, happy, and creative effects that can help diminish depression and initiate activity.",https://www.leafly.com/strains/laughing-gas
Lava Cake,Hybrid,22,,,4.5,276,"Relaxed;Sleepy;Hungry","Anxiety;Stress;Pain","Pepper;Mint;Vanilla","Caryophyllene;Myrcene;Humulene","Thin Mint GSC;Grape Pie",,medium,medium,moderate,,"Lava Cake is a powerful indica-hybrid marijuana strain made by crossing Thin Mint GSC with Grape Pie. Lava Cake produces deeply relaxing effects that ease the mind and body. This strain is ideal for after work, lazy days off, or for anyone seeking to relax. Lava Cake is widely celebrated for its deliciously sweet flavor profile that puts out exceptionally smooth and cakey terpenes. Consumers say this strain smells similar to freshly baked goods - with notes of sugary dough coming through. Medical marijuana patients choose Lava Cake for swift relief of symptoms associated with chronic pain, stress and anxiety. Growers say this strain grows in a dense, bulbous structure with rich hues of purple and green camouflaged by dense, glistening trichomes.",https://www.leafly.com/strains/lava-cake
Lavender,Indica,18,1,,4.1,801,"Sleepy;Relaxed;Tingly","Stress;Pain;Insomnia","Lavender;Flowery;Violet","Caryophyllene;Myrcene;Pinene","Super Skunk;Big Skunk Korean;Afghani Hawaiian",,medium,medium,easy,7,"Lavender, also known as ""Lavender Kush,"" is an indica marijuana strain. Built from strains around the world, Lavender by Soma Seeds has its origins from Super Skunk, Big Skunk Korean and Afghani Hawaiian. According to growers, this strain has dense buds that give off a floral and spicy aroma. It has a dark purple coloration at the ends of its leaves.",https://www.leafly.com/strains/lavender
Layer Cake,Hybrid,24,,,4.6,221,"Relaxed;Euphoric;Uplifted","Anxiety;Stress;Depression","Vanilla;Pungent;Skunk","Myrcene;Limonene;Caryophyllene","Wedding Cake;GMO;Triangle Kush;Skunk",,medium,medium,moderate,,"Layer Cake is a hybrid weed strain made from a genetic cross between Wedding Cake, GMO, Triangle Kush, and Skunk. Layer Cake is 24% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Layer Cake effects include relaxed, euphoric, and uplifted. Medical marijuana patients often choose Layer Cake when dealing with symptoms associated with anxiety, depression, and stress. Bred by Swamp Boys Seeds, Layer Cake features flavors like vanilla, pungent, and skunk. The dominant terpene of this strain is myrcene.",https://www.leafly.com/strains/layer-cake
Legalized OG,Hybrid,18,,,4.8,21,"Relaxed;Uplifted;Focused","Depression;Pain;Stress","Pine;Fruity","Limonene;Myrcene;Caryophyllene",OG Kush,,medium,medium,moderate,,"Legalized OG is a popularized cut of the famous OG Kush. This strain’s flavor is piney with fruity nuances that some might describe as grape or berry. The effects set in immediately and envelop the body from the head down with a sedating buzz that lingers and weighs on the body. Legalized OG stays true to its OG roots and would be an ideal cut for patients seeking relief from chronic pain, nausea, or restlessness.",https://www.leafly.com/strains/legalized-og
Legend of Nigeria,Sativa,,,,4.7,24,"Focused;Energetic;Uplifted","Depression;Anxiety;Stress","Diesel;Lime;Blueberry",,"Legend OG;Nigerian Silver",,high,medium,moderate,,"Legend of Nigeria by Swamp Boys Seeds is a cross of SBS’s clone-only Legend OG and its own beloved Nigerian strain. This sativa-dominant hybrid sprouts medium-sized plants that need space to stretch and flower. Legend of Nigeria produces dense buds that gives off a potent blueberry and fuel aroma that is just as rich on the palate. This strain produces a larger-than-average yield with proper vegetative staging and training, and has an approximate 63-day flowering time.",https://www.leafly.com/strains/legend-of-nigeria
Lemon Alien Dawg,Hybrid,17,,,4.5,77,"Relaxed;Euphoric;Uplifted","Stress;Depression;Anxiety","Lemon;Citrus;Sweet","Myrcene;Caryophyllene;Pinene","Alien Dawg;Lemon Kush",,medium,medium,moderate,,"Lemon Alien Dawg comes from Alien Genetics, who crossbred an Alien Dawg female with Lemon Kush to create this pungent hybrid cannabis strain. Large chunky buds radiate with sweet and sour fruity notes dominated by the zesty scent of lemon. Lemon Alien Dawg lets your body sink into deep relaxation while the mind floats away to happy escapes.",https://www.leafly.com/strains/lemon-alien-dawg
Lemon Bean,Sativa,21,,,4.4,86,"Energetic;Focused;Creative","Anxiety;Depression;Stress","Lemon;Citrus;Diesel","Myrcene;Limonene;Caryophyllene","Lemon Tree;Eddy Lepp",,medium,medium,moderate,,"Lemon Bean is a sativa weed strain made from a genetic cross between Lemon Tree and Eddy Lepp. Lemon Bean is 21% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Lemon Bean effects include feeling energetic, focused, and uplifted. Medical marijuana patients often choose Lemon Bean when dealing with symptoms associated with anxiety, stress, and depression. Bred by West Coast Breeders, Lemon Bean features flavors like lemon, citrus, and diesel. The dominant terpene of this strain is myrcene.",https://www.leafly.com/strains/lemon-bean
Lemon Berry Candy OG,Hybrid,,,,4.2,30,"Creative;Energetic;Uplifted","Depression;Stress;Anxiety","Berry;Lemon;Diesel",,"Las Vegas Lemon Skunk;LGBT (Lemon Grape Bubba Temple)",,medium,medium,moderate,,"This strain with a mouthful of a name comes from Ethos Genetics and crosses Las Vegas Lemon Skunk with LGBT (Lemon Grape Bubba Temple). Lemon Berry Candy OG is a concentrate lover’s dream with trichome-rich buds and sharp notes of candied lemons, sweet berries, and gassy undertones. Consumers have noted feeling elevated, energetic, and engaged shortly after the first puff.",https://www.leafly.com/strains/lemon-berry-candy-og
Lemon Bubble,Sativa,,,,4.4,44,"Talkative;Energetic;Giggly","Depression;Stress;Headaches","Lemon;Citrus;Sweet",,"Super Lemon Haze;Silver Bubble",3rd place in the Sativa Cup at the 2014 High Times Cannabis Cup,medium,medium,moderate,,"Lemon Bubble from Pheno Finder Seeds is an award-winning strain that combines Super Lemon Haze with Silver Bubble to create a potent sativa that is applauded for its emphasis on flavor. Recently, Lemon Bubble took 3rd place in the Sativa Cup at the 2014 High Times Cannabis Cup. Its citrus flavors are highlighted by sweet lemons and finish with an earthy Haze undertone to produce happy thoughts and a soothing sense of euphoria.",https://www.leafly.com/strains/lemon-bubble
Lemon Butter,Hybrid,20,,,4.7,19,"Creative;Happy;Uplifted","Anxiety;Fatigue;Headaches","Butter;Sage;Lemon","Limonene;Terpinolene;Pinene","Lemon Puff;Peanut Butter Breath",,medium,medium,easy,,"Lemon Butter is a hybrid weed strain made from a genetic cross between Lemon Puff and Peanut Butter Breath. Bred by House of Cultivar, Lemon Butter is 20% THC, making this strain an ideal choice for beginner cannabis consumers. Leafly customers tell us Lemon Butter effects make them feel creative, tingly, and hungry. Medical marijuana patients often choose Lemon Butter when dealing with symptoms associated with anxiety, fatigue, and headaches. The dominant terpene of this cannabis strain is terpinolene. Lemon Butter features an aroma and flavor profile of butter, sage, and lemon.",https://www.leafly.com/strains/lemon-butter
Lemon Cake,Sativa,17,,,4.4,237,"Uplifted;Energetic;Focused","Anxiety;Stress;Depression","Lemon;Cheese;Citrus","Myrcene;Caryophyllene;Limonene","Lemon Skunk;Cheese",,high,medium,easy,9,"Lemon Cake by Heavyweight Seeds is a potent sativa-dominant strain with sweet and musky aromas. Also known as Lemon Pound Cake and Lemon Cheesecake, Lemon Cake is a cross of Lemon Skunk and a “dangerously powerful Cheese,” according to Heavyweight. With a 9-10 week flowering time, squat morphology, and abundant yield, Lemon Cake is kind to growers, especially those outdoors. This strain emits a pungent citrus aroma with a musky Cheese undertone. Heavyweight Seeds recommends consuming this strain to combat stress, loss of appetite, and minor physical discomfort.",https://www.leafly.com/strains/lemon-cake
Lemon Cherry Gelato,Hybrid,20,,,4.6,672,"Tingly;Relaxed;Giggly","Anxiety;Depression;Stress","Lemon;Citrus;Berry","Caryophyllene;Linalool;Limonene","Gelato;Sunset Sherbet;Girl Scout Cookies",,medium,short to medium,difficult,8,"Lemon Cherry Gelato is a extremely popular hybrid weed strain with several alleged origins. It could just be Gelato bagseed, aka a between Sunset Sherbet and Girl Scout Cookies. It can also be a type of Runtz, which is Gelato x Z. Now it is so popular, samples labeled 'LCG' surely include a broad range of Gelato, and Runtz varieties. Lemon Cherry Gelato is 20% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Lemon Cherry Gelato effects include tingly, relaxed, and euphoric. Medical marijuana patients often choose Lemon Cherry Gelato when dealing with symptoms associated with anxiety, pain, and stress. Bred by Backpackboyz, Lemon Cherry Gelato features an aroma of lime, berries, and citrus with flavors of lemon, and sweet fruit. The dominant terpene of this strain is caryophyllene.",https://www.leafly.com/strains/lemon-cherry-gelato
Lemon Cookies,Hybrid,20,,,4.6,72,"Euphoric;Uplifted;Energetic","Anxiety;Depression;Stress","Lemon;Citrus;Lime","Limonene;Caryophyllene;Myrcene","GSC;Lemon Haze",,medium,medium,moderate,,"Lemon Cookies is a sativa-leaning hybrid marijuana strain crossed by Lemon Haze and GSC. Lemon Cookies has dense buds with citrus aromas that will erupt from the bag and intensify when smoking. This strain produces a high that is euphoric but not overwhelming, leaving your body relaxed and free of tension.",https://www.leafly.com/strains/lemon-cookies
Lemon Diesel,Hybrid,17,,,4.2,605,"Focused;Euphoric;Uplifted","Stress;Anxiety;Depression","Lemon;Diesel;Citrus","Myrcene;Caryophyllene;Pinene","California Sour;Lost Coast OG",Top 10 at the Emerald Cannabis Cup 2010,medium,medium,moderate,9,"Lemon Diesel is a hybrid marijuana strain made by crossing California Sour with Lost Coast OG. This strain produces effects that are relaxing but still allow you to be focused and coherent. Some say Lemon Diesel is a creeper strain, meaning that the high comes on slower than you might expect. This strain offers a delicious flavor that is fruity and sweet with hints of citrus and pepper. Growers say Lemon Diesel has a flowering time of 9-10 weeks.",https://www.leafly.com/strains/lemon-diesel
Lemon Dosidos,Hybrid,16,,,4.7,37,"Focused;Euphoric;Energetic","Anxiety;Stress;Depression","Lemon;Citrus;Skunk","Myrcene;Caryophyllene;Limonene","Lemon Tree;Do-Si-Dos",,medium,medium,moderate,,"Lemon Dosidos, also known as “Lemon Dosi” and “Lemon Do-Si-Dos,” is a sativa-dominant hybrid marijuana strain made by crossing Lemon Tree with Do-Si-Dos. The effects of Lemon Dosidos are more energizing than calming. Consumers who have smoked this strain say it provides a creative high that leaves you feeling focused and euphoric at the same time. In large doses, Lemon Dosidos can be relaxing and may make you feel tired. The flavor of this strain is citrus forward, with notes of floral lemon. This strain works well as an early afternoon pick-me-up. Lemon Dosidos was originally bred by Elev8 Seeds.",https://www.leafly.com/strains/lemon-dosidos
Lemon Drizzle,Hybrid,23,,,4.3,23,"Energetic;Tingly;Happy","Anxiety;Depression;Pain","Lemon;Citrus;Chemical","Caryophyllene;Limonene;Myrcene","Super Lemon Haze;WiFi OG",,medium,medium,moderate,,"Lemon Drizzle is a sativa-dominant hybrid weed strain made from a genetic cross between Super Lemon Haze and WiFi OG. Bred by Real Gorilla Seeds, Lemon Drizzle is 23% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Lemon Drizzle effects make them feel tingly, energetic and hungry. Medical marijuana patients often choose Lemon Drizzle when dealing with symptoms associated with pain, stress, and anxiety. The dominant terpene of this cannabis strain is myrcene. Lemon Drizzle features an aroma and flavor profile of lemon, tea, and sweet notes.",https://www.leafly.com/strains/lemon-drizzle
Lemon Drop,Hybrid,16,,,4.1,239,"Giggly;Focused;Happy","Stress;Anxiety;Depression","Lemon;Citrus;Tea","Myrcene;Pinene;Caryophyllene",,,medium,medium,easy,,"Lemon Drop is a mellow, fluffy bud that provides a pleasant, giggly sensation. This strain tends to provide a more euphoric, focused experience, though some phenotypes produce a stronger body feeling that is relaxing yet not overpowering. Fittingly, Lemon Drop has a lemony, clean taste that is reminiscent of the candy of the same name.",https://www.leafly.com/strains/lemon-drop
Lemon Fire,Hybrid,15,1,,4.6,14,"Energetic;Creative;Uplifted","Depression;Lack of appetite;Anxiety","Lemon;Apple;Mint","Myrcene;Caryophyllene;Limonene","Frozen Lemons;Freezer Burn",Best U.S. Concentrate in the 2014 Washington Cannabis Cup by Mr. B Extracts,medium,medium,moderate,,Lemon Fire is a hybrid that won Best U.S. Concentrate in the 2014 Washington Cannabis Cup by Mr. B Extracts.,https://www.leafly.com/strains/lemon-fire
Lemon G,Sativa,17,,,4.5,251,"Uplifted;Relaxed;Euphoric","Stress;Anxiety;Pain","Lemon;Citrus;Sweet","Limonene;Caryophyllene;Linalool","G13;Lemon Kush;Lemon Punch",,medium,medium,moderate,,"Lemon G is the pride of Ohio, representing the Midwest among all the Dutch and West Coast strains out there. Potent and invigorating, this strain descends from Original G13. Relaxing effects tend to show up first after consuming Lemon G. Over time, however, the upbeat, euphoric, and giggly effects begin to emerge. Lemon G is a sociable strain and, as the name suggests, has a strong lemon fragrance, suggesting limonene. Taste-wise, this strain is fairly mellow and does not necessarily exhibit the strong citrus properties found in its scent. Real, old-school Lemon G is missed by veteran smokers.",https://www.leafly.com/strains/lemon-g
Lemon Gelato,Hybrid,18,,,4.6,27,"Euphoric;Relaxed;Creative","Anxiety;Depression;Pain","Lemon;Blueberry;Blue Cheese","Myrcene;Pinene;Caryophyllene","Thin Mint Girl Scout Cookies;Lemon Haze;Sunset Sherbet",,medium,medium,moderate,,"Lemon Gelato is an indica-dominant hybrid marijuana strain made by crossing three famous strains: Thin Mint Girl Scout Cookies, Lemon Haze, and Sunset Sherbet. This strain is famous for its distinct smell and flavor, featuring bold hints of lemon, blueberry, and sherbet. Some consumers say they notice an earthy and woody aftertaste when smoking this strain. In terms of effects, Lemon Gelato will give you a buzzy head high while your mind eases into an easygoing state of euphoria. This strain may make you feel tingly and relaxed, but it won't lock you to the sofa. Medical marijuana patients choose Lemon Gelato to help relieve symptoms associated with chronic pain, fatigue, inflammation, and muscle spasms. This strain pairs well with activities like creative thinking, enjoying music, or listening to a podcast. The buds are marked by bright orange and purple hairs and a coating of amber resin.",https://www.leafly.com/strains/lemon-gelato
Lemon Haze,Sativa,19,,,4.2,2642,"Giggly;Talkative;Happy","Stress;Depression;Anxiety","Lemon;Citrus;Lime","Myrcene;Caryophyllene;Limonene","Lemon Skunk;Silver Haze",,medium,medium,moderate,8,"Lemon Haze is a sativa marijuana strain that smells and tastes like fresh peeled lemon slices. Lemon Haze is made by crossing Lemon Skunk with Silver Haze. Its buds appear to be green and yellow with amber hairs on the trichomes, giving it the yellow tint.",https://www.leafly.com/strains/lemon-haze
Lemon Jack,Sativa,17,,,4.3,163,"Energetic;Focused;Creative","Stress;Depression;Fatigue","Lemon;Chemical;Citrus","Terpinolene;Caryophyllene;Myrcene","Jack Herer;Lemon Kush",,medium,medium,moderate,,"While Lemon Jack has yet to earn the reputation of its father, Jack Herer, this sativa deserves some respect. A potent strain featuring a distinct, chemical-like lemon smell, Lemon Jack has strong psychoactive effects. Focused and energizing, this strain’s effects draw from both its Jack Herer and Lemon Kush heritage. Like a strong cup of coffee, Lemon Jack is a daytime strain. Patients who suffer from headaches and fatigue tend to find relief with this strain, though it may not be the best choice for those who suffer from anxiety.",https://www.leafly.com/strains/lemon-jack
Lemon Jeffery,Hybrid,20,,,4.8,30,"Energetic;Focused;Euphoric","Depression;Fatigue;Stress","Lemon;Lime;Citrus",,"Golden Goat;Lemon Skunk",,high,medium,moderate,10,"Lemon Jeffery by Irie Genetics was created when Rasta Jeff blended Golden Goat with Lemon Skunk. Rasta Jeff bred these strains together to improve Lemon Skunk’s lanky structure while preserving the strain’s distinct lemon candy flavor. Lemon Jeffery can reach into the mid-20% THC range, and can produce a heavy yield if given the space to grow. This strain has an approximate flowering time of 70 days.",https://www.leafly.com/strains/lemon-jeffery
Lemon Kush,Hybrid,19,,,4.1,1268,"Happy;Giggly;Uplifted","Stress;Anxiety;Depression","Lemon;Citrus;Lime","Myrcene;Pinene;Caryophyllene","Master Kush;Lemon Joy",,medium,medium,easy,9,"Lemon Kush, also known as ""Cali Lemon Kush,"" is a hybrid marijuana strain. The general consensus surrounding Lemon Kush is that is a cross between Master Kush and Lemon Joy. However, breeder specific variations exist. Alien Genetics, for example, explains their Lemon Kush as a hybrid between Lemon G, a prized strain from Ohio, and an Afghan Kush. The genetics are the only area of dispute as everyone will agree that the sweet flavors of lemon and citrus mix exceptionally well with the earthy kush undertones. The light green buds are covered in a white frosting of trichomes and provide uplifting and creative effects. Lemon Kush is the perfect solution for when the stresses of life have you feeling sour.",https://www.leafly.com/strains/lemon-kush
Lemon Meringue,Sativa,21,2,,4.6,274,"Energetic;Focused;Uplifted","Depression;Stress;Anxiety","Lemon;Citrus;Nutty","Terpinolene;Caryophyllene;Myrcene","Cookies and Cream;Lemon Skunk",,medium,medium,moderate,,"Lemon Meringue, also known as ""Lemon Meringue Pie,"" is a sativa marijuana strain bred by Exotic Genetix. Made from a sweet and zestful cross of Lemon Skunk and Cookies and Cream, this pungent strain emits a variety of aromas including citrus, diesel, and nuttiness. At the center of this bouquet is a tart slice of lemon meringue pie. Lemon Meringue effects offer uplifting and invigorating energy that encourages physical activity. This strain’s subtle motivational qualities and pleasant euphoria make it a go-to for folks combating fatigue, depression, and minor headaches.",https://www.leafly.com/strains/lemon-meringue
Lemon OG,Hybrid,19,,,4.3,558,"Relaxed;Sleepy;Hungry","Anxiety;Stress;Pain","Lemon;Citrus;Skunk","Caryophyllene;Myrcene;Limonene","Lemon Skunk;OG #18",,medium,medium,moderate,8,"Lemon OG, also known as ""Lemon OG Kush,"" is an indica-dominant marijuana strain. Anything this skunky indica-hybrid lacks in longevity, it makes up for in speed. A cross between the mythical Las Vegas Lemon Skunk and The OG #18, Lemon OG provides users with a quick-acting sleepy head sensation. While Lemon OG has inherited a skunky aroma from its kush relatives, this particular strain is mild tasting and pleasant smelling with fruity undertones. Lemon OG tends to feel more psychoactive than other members of the kush family, but still offers a heavy, medicated feel. The strain is great for stress relief and increasing appetite. These plants usually flower in 8-10 weeks.",https://www.leafly.com/strains/lemon-og
Lemon OG Haze,Hybrid,21,,,4.4,82,"Focused;Energetic;Relaxed","Stress;Depression;Pain","Lemon;Citrus;Lime","Caryophyllene;Limonene;Myrcene","Haze;Lemon OG",,medium,medium,moderate,,"Lemon OG Haze by Nirvana is the sensible combination of its titular elements: Lemon OG and Haze. While Lemon OG contains weighty Kush elements that are kind on the body, the excess limonene and alpha-pinene lead the consumer into a state of mental alertness and euphoria. In the right measure, this strain can be a one-way ticket to productivity, hazing the mind into a content lull while wrapping the body in a calm focus. Enjoy this strain as a means to crush anxiety, depression, lethargy, and fatigue.",https://www.leafly.com/strains/lemon-og-haze
Lemon Royale,Hybrid,26,,,4.4,81,"Energetic;Uplifted;Happy","Anxiety;Stress;Depression","Lemon;Citrus;Skunk","Limonene;Caryophyllene;Myrcene","Lemon Tree;GMO;Triangle Kush",,medium,medium,moderate,,"Lemon Royale is a sativa-dominant hybrid marijuana strain made by crossing Lemon Tree with a cross of GMO and Triangle Kush. This strain produces energizing effects that leave consumers feeling euphoric, inspired, and free from clouded thoughts. Medical marijuana patients choose Lemon Royale to help relieve symptoms associated with depression and fatigue. This strain tastes like its namesake, with bold lemon flavors bursting through gassy undertones. This strain was originally bred by Swamp Boy Seeds.",https://www.leafly.com/strains/lemon-royale
Lemon Shortbread,Hybrid,17,,,3.9,7,"Energetic;Talkative;Focused","Depression;Fatigue;Stress","Lemon;Berry;Vanilla","Myrcene;Caryophyllene;Limonene","Lemon Skunk;SinMint Cookies",,null,null,null,,"Lemon Shortbread is a hybrid weed strain made from a genetic cross between Lemon Skunk and SinMint Cookies. This strain is 55% sativa and 45% indica. Lemon Shortbread is 17% THC, making this strain an ideal choice for experienced cannabis consumers.",https://www.leafly.com/strains/lemon-shortbread
Lemon Skunk,Hybrid,19,,,4.3,1095,"Happy;Uplifted;Euphoric","Stress;Anxiety;Depression","Lemon;Skunk;Citrus","Caryophyllene;Myrcene;Limonene","Skunk 1;Super Lemon Haze;Lemon Haze",,high,medium,easy,7,"Lemon Skunk, also known as ""Lemon Skunk OG,"" is a sativa-dominant hybrid marijuana strain developed from two special Skunk phenotypes hand-picked by the breeder. This classic strain is known to produce energizing effects with a mellow high. In terms of flavor, Lemon Skunk is skunky with a pungent aroma and exceptionally zesty lemon undertones. Lemon Skunk effects are fast-hitting and provide instant feelings of buzzy energy that leave you feeling happy. If you're in a mental funk, consumers say this strain can help you get out of your rut. Lemon Skunk is 19% THC, making it a great strain choice for cannabis consumers of all levels. Myrcene is Lemon Skunk's dominant terpene. Medical marijuana patients often choose this strain to relieve symptoms associated with depression or stress.",https://www.leafly.com/strains/lemon-skunk
