awards,aliases,effects,flavors,medical,terpenes,grow_info,description,strain_name,rating_count,cbd_percentage,cbg_percentage,rating_average,thc_percentage,lineage_parents,strain_classification,url,name,lineage,cbd_percent,thc_percent,average_rating,classification
"[]",,"[""Focused"",""Aroused"",""Uplifted""]","[""Orange"",""Citrus"",""Apricot""]","[""Anxiety"",""Depression"",""Stress""]","[""Caryophyllene"",""Myrcene"",""Humulene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""easy"",""flowering_time_weeks"":null}","L’Orange is a hybrid weed strain made from a genetic cross between Oregon Lemon and Orange Crush. L’Orange is 15% THC, making this strain an ideal choice for beginner cannabis consumers. Leafly customers tell us L’Orange effects include focus, feeling energized, and arousal. Medical marijuana patients often choose L’Orange when dealing with symptoms associated with stress, anxiety, and depression. Bred by Cannabiotix, L’Orange features flavors like orange, citrus and menthol. The dominant terpene of this strain is caryophyllene.",,137,,,,,,,"https://www.leafly.com/strains/lorange","L'Orange","[""Oregon Lemon"",""Orange Crush""]",0,15,4.5,"Hybrid"
"[]",,"[""Euphoric"",""Happy"",""Relaxed""]","[""Creamy"",""Woodsy"",""Spicy"",""Gassy""]","[""Anxiety"",""Insomnia"",""Muscle spasms""]","[""Caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Los Muertos is a hybrid weed strain made from a genetic cross between Motorbreath and Project 4516. This strain is 50% sativa and 50% indica. Los Muertos is a loud and gassy strain that can produce a blissful state of relaxation. This strain is so potent that it could probably wake the dead. Los Muertos is 19-28% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Los Muertos effects include feeling happy, euphoric, and sleepy. Medical marijuana patients often choose Los Muertos when dealing with symptoms associated with chronic pain, insomnia, and stress. Bred by Hytek, Los Muertos features flavors like creamy, woodsy, spicy, and gassy. The dominant terpene of this strain is caryophyllene, which is known for its anti-inflammatory and analgesic properties. The average price of Los Muertos typically ranges from $10-$15 per gram. Los Muertos is a rare and powerful strain that can help you unwind and enjoy the moment. It has dense and sticky buds with purple hues and a thick layer of trichomes.",,5,,,,,,,"https://www.leafly.com/strains/los-muertos","Los Muertos","[""Motorbreath"",""Project 4516""]",,28,5,"Hybrid"
"[]",,"[""uplifted"",""aroused"",""energetic""]","[""apple"",""violet"",""blueberry""]","[""depression"",""anxiety"",""stress""]","[""terpinolene"",""caryophyllene"",""myrcene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Lost Cause is a hybrid weed strain made from a genetic cross between Amnesia Haze and Do-Si-Dos. Bred by Archive Seed Bank, Lost Cause is 19% THC, making this strain an ideal choice for beginner cannabis consumers. Leafly customers tell us Lost Cause effects make them feel aroused, uplifted, and happy. Medical marijuana patients often choose Lost Cause when dealing with symptoms associated with anxiety, depression, and PTSD. The dominant terpene of this cannabis strain is terpinolene. Lost Cause features an aroma and flavor profile of apple, pepper, and violet.",,25,,,,,,,"https://www.leafly.com/strains/lost-cause","Lost Cause","[""Amnesia Haze"",""Do-Si-Dos""]",,19,4.7,"Hybrid"
"[]",,"[""Creative"",""Focused"",""Happy""]","[""Earthy"",""Tropical"",""Blueberry""]","[""Pain"",""Stress"",""Anxiety""]","[""Myrcene"",""Pinene"",""Limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","The sativa-dominant Loud Dream from Loud Seeds was created by backcrossing a Blue Dream F1 with itself for a stable female seed. This California strain has enormous, thick, indica-looking buds that jut out from a crown of sativa leaves. Loud Dream is a sticky and bug-resistant plant with a sweet aroma.",,44,,,,,,,"https://www.leafly.com/strains/loud-dream","Loud Dream","[""Blue Dream""]",0,14,3.8,"Hybrid"
"[]",,"[""sleepy"",""relaxed"",""euphoric""]","[""lavender"",""pepper"",""lemon""]","[""anxiety"",""depression"",""pain""]","[""caryophyllene"",""limonene"",""myrcene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Love Affair is a indica-dominant hybrid weed strain made from a genetic cross between Gorilla Glue #4 and Alien Rock Candy. Love Affair is 22% THC, making this strain an ideal choice for beginner cannabis consumers. Leafly customers tell us Love Affair’s effects include feeling sleepy, relaxed, and euphoric. Medical marijuana patients often choose Love Affair when dealing with symptoms associated with inflammation, insomnia, and lack of appetite. Bred by Proper Cannabis, Love Affair features flavors like lavender, pepper and lemon. The dominant terpene of this strain is caryophyllene.",,29,,,,,,,"https://www.leafly.com/strains/love-affair","Love Affair","[""Gorilla Glue #4"",""Alien Rock Candy""]",,22,4.2,"Hybrid"
"[]",,"[""Aroused"",""Creative"",""Happy""]","[""Citrus"",""Flowery"",""Lemon""]","[""Stress"",""Anxiety"",""Depression""]","[]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Love Potion #1 is a 70% sativa strain bred by Reeferman Seeds. G13 was crossed with a Santa Marta Colombian Gold, and crossed with the Colombian Gold again to achieve this lemon and floral tinged sativa hybrid.",,143,,,,,,,"https://www.leafly.com/strains/love-potion","Love Potion","[""G13"",""Colombian Gold""]",,,4.4,"Sativa"
"[]",,"[""Euphoric"",""Tingly"",""Creative""]","[""Skunk"",""Earthy"",""Tobacco""]","[""Stress"",""Anxiety"",""Depression""]","[""Myrcene"",""Caryophyllene"",""Limonene""]","{""yield"":""high"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":""8-9""}","The LSD strain was bred by Barneys Farm, with a lineage from Mazar-I-Sharif and Skunk #1. It is a disease-resistant plant that does well in most growing conditions. The buds form in curved triangles, yielding approximately 600 grams per square meter. This strain is popular for its vivid euphoric experience and powerful body buzz.",,1184,,,,,,,"https://www.leafly.com/strains/lsd","LSD","[""Mazar-I-Sharif"",""Skunk #1""]",1,18,4.3,"Hybrid"
"[]",,"[""tingly"",""energetic"",""relaxed""]","[""tropical"",""tree fruit"",""apricot""]","[""pain"",""anxiety"",""stress""]","[""myrcene"",""caryophyllene"",""humulene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Lucky is an indica-dominant hybrid weed strain made from a genetic cross between Ice Cream Cake and Sunset Sherbet. Bred by Bodhi Seeds, Lucky is 29% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Lucky effects make them feel tingly, uplifted, and relaxed. Medical marijuana patients often choose Lucky when dealing with symptoms associated with pain, anxiety, and arthritis. The dominant terpene of this cannabis strain is myrcene. Lucky features an aroma and flavor profile of tropical tree fruit and apricot.",,15,,,,,,,"https://www.leafly.com/strains/lucky","Lucky","[""Ice Cream Cake"",""Sunset Sherbet""]",,29,4.5,"Indica"
"[]",,"[""Relaxed"",""Uplifted"",""Focused""]","[""Earthy"",""Woody"",""Tea""]","[""Pain"",""Anxiety"",""Stress""]","[""Caryophyllene"",""Limonene"",""Linalool""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Lucy is a robust indica-dominant CBD-rich strain created from crossing Luca Brasi and LA Confidential. This strain packs a ton of cannabinoids into a tiny package, rendering THC and CBD content above 10% each. With this potent ratio, you can expect to feel an intense sense of wellbeing that isn’t overwhelmingly sedative. Also known for its mental stillness, Lucy pulls the handbrake on “monkey mind” and anxious thoughts. Utilize this strain later in the day to maximize its effects or simply as a supplementary anti-inflammatory that can assist with headaches and muscle pain.",,38,,,,,,,"https://www.leafly.com/strains/lucy","Lucy","[""Luca Brasi"",""LA Confidential""]",9,5,4.4,"Hybrid"
"[]",,"[""Energetic"",""Talkative"",""Happy""]","[""Citrus"",""Lemon"",""Strawberry""]","[""Anxiety"",""Depression"",""Stress""]","[""Myrcene"",""Limonene"",""Caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Lumpy Space Princess, also known as ""LSP,"" is sativa-dominant hybrid marijuana strain made by crossing Black Banana with Pink Lemonade. This strain produces uplifting sativa effects that will leave you feeling talkative and buzzy. The high from Lumpy Space Princess isn't overpowering, but it is enjoyable. In terms of flavor, this strain features a banana aroma and sour citrus flavors. Medical marijuana patients choose Lumpy Space Princess to help reduce symptoms associated with depression, anxiety, and stress. The dominant terpene in Lumpy Space Princess is limonene. This strain was originally bred by Solfire Gardens.",,53,,,,,,,"https://www.leafly.com/strains/lumpy-space-princess","Lumpy Space Princess","[""Black Banana"",""Pink Lemonade""]",,21,4.5,"Hybrid"
"[]",,"[""Energetic"",""Creative"",""Talkative""]","[""Citrus"",""Berries"",""Pear"",""Tropical"",""Plum""]","[""Anxiety"",""Stress"",""Bipolar disorder""]","[]","{""yield"":""null"",""height"":""null"",""difficulty"":""null"",""flowering_time_weeks"":null}","Lychee is a hybrid marijuana strain made by crossing Pink Rozay with White Runtz. The effects of Lychee are uplifting. Consumers who have smoked this strain say it provides a balanced and enjoyable head high. The flavor and aroma will remind you of lychee, with notes of fruity sweet citrus and berries. Lychee flowers into soft nugs that are dark purple and green. This strain pairs well with daytime activities or a wake and bake session. Lychee was originally bred by Lemonnade.",,25,,,,,,,"https://www.leafly.com/strains/lychee","Lychee","[""Pink Rozay"",""White Runtz""]",,,4.8,"Hybrid"
"[]",,"[""Energetic"",""Happy"",""Euphoric""]","[""Diesel"",""Earthy""]","[]","[]","{""yield"":""null"",""height"":""null"",""difficulty"":""null"",""flowering_time_weeks"":null}","If you've smoked, dabbed, or otherwise enjoyed this strain, Lyon King, before let us know! Leave a review.",,2,,,,,,,"https://www.leafly.com/strains/lyon-king","Lyon King","[""Lion King""]",,,5,"Sativa"
"[]",,"[""Sleepy"",""Hungry"",""Tingly""]","[""Woody"",""Tobacco"",""Earthy""]","[""Stress"",""Anxiety"",""Insomnia""]","[]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""difficult"",""flowering_time_weeks"":7}","The offspring of Northern Lights #5 and Skunk #1, M-39 is a difficult crop to grow properly. However, when grown correctly, the M-39 strain has a fruity and lemon taste with many trichomes and very visible crystals. The buds are very compact, heavy, and dense. Its flowering time is about 45 days.",,184,,,,,,,"https://www.leafly.com/strains/m-39","M-39","[""Northern Lights #5"",""Skunk #1""]",,,3.1,"Indica"
"[]",,"[""Uplifted"",""Euphoric"",""Relaxed""]","[""Butter"",""Citrus"",""Vanilla""]","[""Anxiety"",""Depression"",""Stress""]","[""Limonene"",""Pinene"",""Caryophyllene""]","{""yield"":""medium"",""height"":""short to medium"",""difficulty"":""difficult"",""flowering_time_weeks"":8}","Mac 1, also known as ""The MAC,"" is a hybrid marijuana strain that crosses Alien Cookies F2 with Miracle 15. Mac 1 is a popular strain that consumers turn to for upbeat and balancing effects. But Mac 1 is special because not just anyone can grow it. In fact, growers of Mac 1 (Capulator's Cut) have been carefully selected by the breeder in order to protect the quality of this versatile flower. Mac 1 is an Instagram worthy strain, with eye-poppingly gorgeous buds that are nearly white and drenched in milky trichomes. Mac 1 comes through with a smooth, creamy, and funky terpene profile you can enjoy day and night.",,551,,,,,,,"https://www.leafly.com/strains/mac-1","Mac 1","[""Alien Cookies F2"",""Miracle 15""]",,22,4.6,"Hybrid"
"[]",,"[""euphoric"",""relaxed"",""focused""]","[""sweet"",""fruity"",""citrus""]","[""anxiety"",""depression"",""inflammation""]","[""myrcene"",""caryophyllene"",""linalool""]","{""yield"":""unknown"",""height"":""unknown"",""difficulty"":""unknown"",""flowering_time_weeks"":null}","Mac Stomper is a hybrid weed strain made from a genetic cross between MAC and Grape Stomper OG. This strain is a powerful and exotic creation that combines the best of both parents. Mac Stomper has a grape and citrus aroma and taste that are truly pleasing to the senses.",,24,,,,,,,"https://www.leafly.com/strains/mac-stomper","MAC Stomper","[""MAC"",""Grape Stomper OG""]",0,15,4.2,"Hybrid"
"[]",,"[""Relaxed"",""Happy"",""Uplifted""]","[""Orange"",""Floral"",""Earthy""]","[""Anxiety"",""Stress"",""Depression""]","[""Limonene"",""Pinene"",""Caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":""9-10""}","MAC, also known as ""Miracle Alien Cookies"" or simply ""Miracle Cookies,"" is a hybrid marijuana strain made by crossing Alien Cookies with Starfighter and Columbian. MAC produces creative effects that are happy and uplifting. This strain features a smooth orange flavor that is balanced out by floral accents on a sweet, earthy finish. Growers say MAC nugs are gorgeous and covered in resin. Medical marijuana patients choose this strain to help relieve symptoms associated with stress and depression.",,592,,,,,,,"https://www.leafly.com/strains/mac","MAC","[""Alien Cookies"",""Starfighter"",""Columbian""]",,22,4.6,"Hybrid"
"[]",,"[""Energetic"",""Focused"",""Relaxed""]","[""Citrus"",""Grapefruit"",""Grapes"",""Gas"",""Hash"",""Sweet""]","[""Depression"",""Pain"",""Insomnia""]","[""Myrcene"",""Limonene"",""Caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Macmosa is a hybrid weed strain made from a genetic cross between Mimosa and Miracle Alien Cookies, or MAC. This strain is 50% sativa and 50% indica. Macmosa is a rare and exclusive strain from Leafwerx, a cannabis company that focuses on organic and sustainable cultivation practices. Macmosa is 19-28% THC, making this strain an ideal choice for experienced cannabis consumers who can handle a potent high. Leafly customers tell us Macmosa effects include feeling relaxed, happy, and euphoric. Medical marijuana patients often choose Macmosa when dealing with symptoms associated with stress, pain, and anxiety. Bred by Leafwerx, Macmosa features flavors like citrus, grapefruit, grapes, gas, and hash. The dominant terpene of this strain is limonene, which is often associated with a citrus aroma and mood-enhancing effects. The average price of Macmosa typically ranges from $40-$60 per eighth. Macmosa is a beautiful strain with tight dense buds covered in frosty trichomes. The buds have a sweet and musky cookies smell that reminds some users of Skittles candy.",,2,,,,,,,"https://www.leafly.com/strains/macmosa","Macmosa","[""Mimosa"",""Miracle Alien Cookies""]",,24,5,"Hybrid"
"[]",,"[""Sleepy"",""Relaxed"",""Tingly""]","[""Earthy"",""Diesel"",""Flowery""]","[""Pain"",""Stress"",""Anxiety""]","[]","{""yield"":""null"",""height"":""null"",""difficulty"":""null"",""flowering_time_weeks"":null}","Mag Landrace by Ataraxia is an Iranian landrace propagated in the great state of Illinois. This heavy bud grow dense flower speckled with vivid hues of purple and orange. The strain’s aroma is a mixture of earthy spice and diesel while the effects lay into the body, helping mitigate pain, stress, and restlessness.",,213,,,,,,,"https://www.leafly.com/strains/mag-landrace","Mag Landrace","[""PnkZshi"",""Jet Lag""]",,,4.6,"Indica"
"[]",,"[""Aroused"",""Energetic"",""Tingly""]","[""Mango"",""Tropical"",""Strawberry""]","[""Depression"",""Lack of appetite"",""Stress""]","[""Limonene"",""Caryophyllene"",""Myrcene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Crossing Mango Trees, Honeydew Melon, and Mango Sherbert, Magic Melon is a tropical fruity sativa from Humboldt Seed Company. Lime green buds have hints of purple, and cantaloupe and watermelon aromas finish with gassy notes when you open the bag.",,62,,,,,,,"https://www.leafly.com/strains/magic-melon","Magic Melon","[""Mango Trees"",""Honeydew Melon"",""Mango Sherbert""]",0,21,4.2,"Hybrid"
"[]",,"[""Energetic"",""Focused"",""Uplifted""]","[""Orange"",""Citrus"",""Pine""]","[""Depression"",""Fatigue"",""Stress""]","[""Limonene"",""Myrcene"",""Linalool""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Magnum PI is a sativa-dominant strain with its genetic origins cloaked in a Hawaiian shirt of pure mystery. This stimulating cross, supposedly created by Seahorse Gardens near the Puget Sound, exhibits hints of citrus and sweet earth on the nose. The effects have been described as clear-headed and stimulating, which makes this strain a perfect accompaniment for outdoor activities.",,22,,,,,,,"https://www.leafly.com/strains/magnum-pi","Magnum PI","[]",1,21,4.5,"Sativa"
"[]",,"[""Energetic"",""Aroused"",""Focused""]","[""Tar"",""Tropical"",""Flowery""]","[""Depression"",""Fatigue"",""Stress""]","[""Myrcene"",""Caryophyllene"",""Limonene""]","{""yield"":""high"",""height"":""tall"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Malawi Gold is a legendary landrace strain that has grown naturally in Malawi for generations. Its morphology remains consistent, uniform, and adaptable to its native climate. Malawi Gold grows tall plants with long, resin-caked buds that express a low calyx-to-leaf ratio. This strain offers an enticing floral aroma with latent fragrances of herbs and earth. If you are lucky enough to encounter this mythic bud, cherish its potent and invigorating effects, as you are consuming one of the surviving ancestors of modern cannabis.",,29,,,,,,,"https://www.leafly.com/strains/malawi-gold","Malawi Gold","[]",,18,4.8,"Sativa"
"[]",,"[""Energetic"",""Creative"",""Uplifted""]","[""Earthy"",""Woody"",""Flowery""]","[""Depression"",""Stress"",""Fatigue""]","[""Myrcene"",""Pinene"",""Caryophyllene""]","{""yield"":""medium"",""height"":""tall"",""difficulty"":""difficult"",""flowering_time_weeks"":17}","Malawi is a pure sativa strain that comes from the Salima region of Malawi in southeast Africa. This strain has an extremely long flowering time, sometimes up to 120 days. Always worth the wait, Malawi produces long and resin-coated buds, a great smoke for any occasion.",,81,,,,,,,"https://www.leafly.com/strains/malawi","Malawi","[""African"",""Golden Tiger"",""Island Girl""]",,22,4.4,"Sativa"
"[]",,"[""Relaxed"",""Uplifted"",""Happy""]","[""Citrus"",""Diesel""]","[""Anxiety"",""Stress"",""Depression""]","[""Caryophyllene"",""Limonene"",""Myrcene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Mandarin Cookies, also known as ""Mandarin Mints,"" is a hybrid marijuana strain that gives off a sedating and calming high. Mandarin Cookies has flavors of sweet citrus and diesel. This strain is a great choice for an after dinner dessert that won't leave you glued to your couch. Mandarin Cookies is made by crossing Forum Cut Cookies and Mandarin Sunset. This strain is bred by Ethos in Colorado.",,312,,,,,,,"https://www.leafly.com/strains/mandarin-cookies","Mandarin Cookies","[""Forum Cut Cookies"",""Mandarin Sunset""]",0,19,4.5,"Hybrid"
"[]",,"[""Relaxed"",""Sleepy"",""Euphoric""]","[""Citrus"",""Orange"",""Tropical""]","[""Anxiety"",""Stress"",""Depression""]","[""Myrcene"",""Caryophyllene"",""Limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","By crossing Stormtrooper #2 with Mandarin Sunset, Ethos Genetics creates Mandarin Dreams. A fruity gassy hybrid with big bright green buds, this euphoric strain is great for winding down at night or taking an evening stroll.",,141,,,,,,,"https://www.leafly.com/strains/mandarin-dreams","Mandarin Dreams","[""Stormtrooper #2"",""Mandarin Sunset""]",,17,4.4,"Hybrid"
"[]",,"[""Sleepy"",""Relaxed"",""Happy""]","[""Orange"",""Citrus"",""Skunk""]","[""Pain"",""Insomnia"",""Stress""]","[""Pinene"",""Myrcene"",""Caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Bred by Ethos Genetics, Mandarin Sunset crosses Herijuana with Orange Skunk, creating an indica with a rich, skunky, orange flavor profile. If you find Mandarin Sunset in concentrate form be sure to give it a try, as its terpene profile has won numerous cups.",,72,,,,,,,"https://www.leafly.com/strains/mandarin-sunset","Mandarin Sunset","[""Herijuana"",""Orange Skunk""]",,18,4.7,"Indica"
"[]",,"[""Relaxed"",""Hungry"",""Euphoric""]","[""Grapefruit"",""Citrus"",""Orange""]","[""Anxiety"",""Depression"",""Pain""]","[""Pinene"",""Caryophyllene"",""Humulene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Crossing Dying Breed’s California Black Rosé and Ethos’ Mandarin Sunset, this eye-catching strain has unique and beautiful purple, black, and red buds. Its dense, resinous buds have a low leaf-to-flower ratio, making Mandarin Z an excellent choice for extraction. Buds are flavor-packed with grape, grapefruit, spice, and orange notes that will leave any smoker smiling after the first hit.",,67,,,,,,,"https://www.leafly.com/strains/mandarin-zkittlez","Mandarin Z","[""California Black Rosé"",""Mandarin Sunset""]",,19,4.4,"Hybrid"
"[]",,"[""Giggly"",""Hungry"",""Happy""]","[""Mango"",""Tropical"",""Sweet""]","[""Stress"",""Anxiety"",""Depression""]","[""Myrcene"",""Caryophyllene"",""Humulene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":10}","The Mango Kush marijuana strain tastes similar to the actual mango fruit, with a distinct kush flavor and hints of pine on the exhale. Its buds are covered with orange pistils and are described as very dense. The plant has an average growth height of 4-5 feet. Flowering is 9-11 weeks and is a favorite with both indoor and outdoor growers. The buds have thick shiny trichomes which are evident when the bud is broken apart. The smell and taste are the same and described as mango and banana.",,1288,,,,,,,"https://www.leafly.com/strains/mango-kush","Mango Kush","[""Hindu Kush"",""Mango""]",,21,4.2,"Hybrid"
"[]",,"[""talkative"",""energetic"",""hungry""]","[""mango"",""citrus"",""candy""]","[""stress"",""anxiety"",""pain""]","[""myrcene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Mango Sunrise is a hybrid weed strain made from a genetic cross between Mango and Sunrise Sherbet. This strain is 50% sativa and 50% indica. Mango Sunrise is a rare and exotic strain that offers a tropical blast of flavor and aroma. This strain is 17% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Mango Sunrise effects include feeling relaxed, blissful, and hungry. Medical marijuana patients often choose Mango Sunrise when dealing with symptoms associated with stress, anxiety, and pain. Bred by Seed and Strain, Mango Sunrise features flavors like mango, citrus, and candy. The dominant terpene of this strain is myrcene. The average price of Mango Sunrise typically ranges from $30-$40. Mango Sunrise is a great strain to enjoy in the morning or afternoon, as it can boost your mood and stimulate your appetite.",,9,,,,,,,"https://www.leafly.com/strains/mango-sunrise","Mango Sunrise","[""Mango"",""Sunrise Sherbet""]",,17,4.9,"Hybrid"
"[""1st place in the 2015 SoCal Cannabis Cup""]",,"[""Aroused"",""Giggly"",""Talkative""]","[""Mango"",""Peach"",""Tropical""]","[""Stress"",""Depression"",""Anxiety""]","[""Myrcene"",""Caryophyllene"",""Limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Mango Tango is a hybrid cannabis strain by Elemental Seeds whose crushing effects dance with a pungent, fruity flavor profile. Its True OG parent passes on heavily relaxing effects typical of Kush varieties while its loud citrus and peach flavors come from Tangie and Peaches genetics. A subtle pine flavor can be detected on the exhale, creating a complex taste that helped this strain win 1st place in the 2015 SoCal Cannabis Cup.",,105,,,,,,,"https://www.leafly.com/strains/mango-tango","Mango Tango","[""Tangie"",""True OG""]",0,21,4.6,"Hybrid"
"[]",,"[""Hungry"",""Relaxed"",""Sleepy""]","[""Mango"",""Tropical"",""Sweet""]","[""Stress"",""Anxiety"",""Pain""]","[""Myrcene"",""Pinene"",""Caryophyllene""]","{""yield"":""high"",""height"":""tall"",""difficulty"":""moderate"",""flowering_time_weeks"":9}","Mango, also known as ""Mango OG,"" is an indica marijuana strain made by crossing KC 33 with Afghani. This strain produces euphoric and uplifting effects that are sure to boost your mood. Mango is known to be a creeper strain, meaning that the effects come on slowly. This strain smells and tastes like its namesake, a bright juicy mango.",,557,,,,,,,"https://www.leafly.com/strains/mango","Mango","[""KC 33"",""Afghani""]",0,17,4.1,"Indica"
"[]",,"[""Relaxed"",""Hungry"",""Sleepy""]","[""Lemon"",""Earth"",""Spice""]","[""Insomnia"",""Anxiety"",""Stress""]","[]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Marathon OG, also known as ""Marathon Kush,"" is a potent indica marijuana strain bred from a cross of OG Kush. Marathon OG produces euphoric and relaxing effects that may overwhelm a novice consumer. This strain features flavors like lemon, earth and spice. Medical marijuana patients choose Marathon OG to help relieve symptoms associated with stress, anxiety and pain. Fun Fact: this strain was selected for the late rapper Nipsey Hussle, its name a homage to his series of famous mixtapes.",,71,,,,,,,"https://www.leafly.com/strains/marathon-og","Marathon OG","[""OG Kush""]",,,4.7,"Indica"
"[]",,"[""Relaxed"",""Happy"",""Uplifted""]","[""Berry"",""Plum"",""Apricot""]","[""Stress"",""Depression"",""Anxiety""]","[""Terpinolene"",""Caryophyllene"",""Limonene""]","{""yield"":""high"",""height"":""medium"",""difficulty"":""easy"",""flowering_time_weeks"":null}","Like the fruit it is named for, Marionberry Kush is a delicious hybrid bred by Heroes of the Farm. A well-balanced cross of Raspberry Kush and Space Queen that puts off a full spectrum of fruity flavors, Marionberry Kush closely resembles her genetic “sister” Cinderella 99. There are six main phenotypes of Marionberry that all show a range of fruit flavors like passionfruit and raspberry. The aroma is smooth, sweet, and earthy with a sour twist. The effects are pronounced and uplift the mind almost immediately and then slowly relax the body without putting you to sleep.",,183,,,,,,,"https://www.leafly.com/strains/marionberry-kush","Marionberry Kush","[""Raspberry Kush"",""Space Queen""]",,20,4.4,"Hybrid"
"[]",,"[""Sleepy"",""Tingly"",""Relaxed""]","[""Pungent"",""Earthy"",""Pine""]","[""Pain"",""Stress"",""Insomnia""]","[""Limonene"",""Caryophyllene"",""Myrcene""]","{""yield"":""high"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Mars OG is one spacey indica. Coming out of the California Bay Area, Mars OG has been given its planetary name in reference to its growing conditions. Planetary strains refer to strains which began indoors and were moved outdoors to complete the grow cycle in more natural conditions. The end result is a dense bud with a high flower-to-leaf ratio that produces a heavy-handed body buzz. With a hearty, thick taste and pungent smell, Mars OG will take away your pains and easily put you to sleep.",,224,,,,,,,"https://www.leafly.com/strains/mars-og","Mars OG","[""Mars OG"",""Pkr"",""Pink Mars""]",0,17,4.3,"Indica"
"[]",,"[""Relaxed"",""Hungry"",""Happy""]","[""Butter"",""Pepper"",""Vanilla""]","[""Anxiety"",""Stress"",""Depression""]","[""Limonene"",""Caryophyllene"",""Myrcene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Marshmallow OG is a hybrid weed strain made from a genetic cross between Chemdog, Triangle OG, and Jet Fuel Gelato. Marshmallow OG is 20% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Marshmallow OG effects include relaxation, hunger, and happiness. Medical marijuana patients often choose Marshmallow OG when dealing with symptoms associated with anxiety, stress, and depression. Bred by Compound Genetics, Marshmallow OG features flavors like butter, vanilla, and pepper. The dominant terpene of this strain is Limonene.",,219,,,,,,,"https://www.leafly.com/strains/marshmallow-og","Marshmallow OG","[""Chemdog"",""Triangle OG"",""Jet Fuel Gelato""]",,20,4.6,"Hybrid"
"[]",,"[""Sleepy"",""Hungry"",""Relaxed""]","[""Skunk"",""Earthy"",""Pungent""]","[""Stress"",""Pain"",""Insomnia""]","[""Myrcene"",""Caryophyllene"",""Limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":9}","Master Bubba is the perfect strain for those looking for true indica effects. Bred from Master Kush and Bubba Kush, it’s popular for the treatment of pain, stress and insomnia thanks to the strong body sedation it provides. Master Bubba plants flower at 8 to 9 weeks with smaller, dense buds that can have a fruity, musky aroma. Kush earthiness is the main note in its smooth flavor. This strain can be very potent, making it best in the evening or as a nightcap.",,114,,,,,,,"https://www.leafly.com/strains/master-bubba","Master Bubba","[""Bubba Kush"",""Master Kush""]",0,24,4,"Indica"
